Dept.,Course,Start Date,Start Time,Duration (Mins),End Date,End Time,Location,Availability
BUSI,BUSI 3040 A,Dec-9-2024,09:00,180,Dec-9-2024,12:00,RB 2311,Fixed Duration
BUSI,BUSI 3040 A,Dec-9-2024,09:00,180,Dec-9-2024,12:00,RB 3320,Fixed Duration
BUSI,BUSI 3102 A,Dec-9-2024,14:00,120,Dec-9-2024,16:00,AH,Fixed Duration
BUSI,BUSI 3102 B,Dec-9-2024,14:00,120,Dec-9-2024,16:00,AH,Fixed Duration
BUSI,BUSI 3102 D,Dec-9-2024,14:00,120,Dec-9-2024,16:00,AH,Fixed Duration
BUSI,BUSI 3103 A,Dec-18-2024,14:00,120,Dec-18-2024,16:00,AH,Fixed Duration
BUSI,BUSI 3103 B,Dec-18-2024,14:00,120,Dec-18-2024,16:00,AH,Fixed Duration
BUSI,BUSI 3103 C,Dec-18-2024,14:00,120,Dec-18-2024,16:00,AH,Fixed Duration
BUSI,BUSI 3103 D,Dec-18-2024,14:00,90,Dec-18-2024,15:30,ON LINE,Fixed Duration
BUSI,BUSI 3106 A,Dec-12-2024,14:00,120,Dec-12-2024,16:00,AH,Fixed Duration
BUSI,BUSI 3400 A,Dec-10-2024,14:00,180,Dec-10-2024,17:00,ON LINE,Fixed Duration
BUSI,BUSI 3405 A,Dec-16-2024,19:00,180,Dec-16-2024,22:00,TB 236,Fixed Duration
BUSI,BUSI 3406 A,Dec-13-2024,09:00,180,Dec-13-2024,12:00,NI 4050,Fixed Duration
BUSI,BUSI 3500 A,Dec-13-2024,14:00,180,Dec-13-2024,17:00,HS 1301,Fixed Duration
BUSI,BUSI 3502 A,Dec-16-2024,14:00,180,Dec-16-2024,17:00,AT 301,Fixed Duration
BUSI,BUSI 3512 A,Dec-17-2024,14:00,180,Dec-17-2024,17:00,AH,Fixed Duration
BUSI,BUSI 3600 A,Dec-11-2024,19:00,180,Dec-11-2024,22:00,AT 102,Fixed Duration
BUSI,BUSI 4005 A,Dec-13-2024,19:00,180,Dec-13-2024,22:00,NI 3020,Fixed Duration
BUSI,BUSI 4008 R,Dec-19-2024,09:00,180,Dec-19-2024,12:00,FH,Fixed Duration
BUSI,BUSI 4129 A,Dec-20-2024,14:00,180,Dec-20-2024,17:00,NI 4010,Fixed Duration
BUSI,BUSI 4510 A,Dec-20-2024,14:00,180,Dec-20-2024,17:00,TB 447,Fixed Duration
BUSI,BUSI 4511 A,Dec-18-2024,09:00,180,Dec-18-2024,12:00,TB 238,Fixed Duration
BUSI,BUSI 4601 A,Dec-12-2024,09:00,180,Dec-12-2024,12:00,AH,Fixed Duration
BUSI,BUSI 4601 B,Dec-12-2024,09:00,180,Dec-12-2024,12:00,AH,Fixed Duration
BUSI,BUSI 4601 C,Dec-12-2024,09:00,180,Dec-12-2024,12:00,AH,Fixed Duration
BUSI,BUSI 4608 A,Dec-14-2024,19:00,120,Dec-14-2024,21:00,AT 101,Fixed Duration
BUSI,BUSI 4717 A,Dec-16-2024,09:00,180,Dec-16-2024,12:00,NI 3020,Fixed Duration
BUSI,MGMT 5129 A,Dec-20-2024,14:00,180,Dec-20-2024,17:00,NI 4010,Fixed Duration
CHEM,CHEM 1001 A,Dec-12-2024,09:00,180,Dec-12-2024,12:00,FH,Fixed Duration
CHEM,CHEM 1001 B,Dec-12-2024,09:00,180,Dec-12-2024,12:00,FH,Fixed Duration
CHEM,CHEM 1001 E,Dec-12-2024,09:00,180,Dec-12-2024,12:00,FH,Fixed Duration
CHEM,CHEM 1011 A,Dec-12-2024,09:00,180,Dec-12-2024,12:00,TB 236,Fixed Duration
CHEM,CHEM 1101 A,Dec-18-2024,09:00,180,Dec-18-2024,12:00,FH,Fixed Duration
CHEM,CHEM 1101 B,Dec-18-2024,09:00,180,Dec-18-2024,12:00,FH,Fixed Duration
CHEM,CHEM 2103 A,Dec-16-2024,14:00,180,Dec-16-2024,17:00,TB 202,Fixed Duration
CHEM,CHEM 2203 A,Dec-11-2024,14:00,180,Dec-11-2024,17:00,FH,Fixed Duration
CHEM,CHEM 2207 A,Dec-11-2024,14:00,180,Dec-11-2024,17:00,FH,Fixed Duration
CHEM,CHEM 2302 A,Dec-18-2024,09:00,180,Dec-18-2024,12:00,AT 302,Fixed Duration
CHEM,CHEM 3101 A,Dec-20-2024,14:00,180,Dec-20-2024,17:00,NN 280,Fixed Duration
CHEM,CHEM 3201 A,Dec-11-2024,14:00,180,Dec-11-2024,17:00,AT 102,Fixed Duration
CHEM,CHEM 3503 A,Dec-10-2024,09:00,180,Dec-10-2024,12:00,TB 230,Fixed Duration
CHEM,CHEM 3507 A,Dec-10-2024,09:00,180,Dec-10-2024,12:00,TB 230,Fixed Duration
CHEM,CHEM 4207 A,Dec-16-2024,14:00,180,Dec-16-2024,17:00,TB 217,Fixed Duration
CHEM,CHEM 5010 A,Dec-16-2024,14:00,180,Dec-16-2024,17:00,TB 217,Fixed Duration
CHEM,FOOD 2001 A,Dec-17-2024,09:00,120,Dec-17-2024,11:00,AT 301,Fixed Duration
CHEM,FOOD 2003 A,Dec-11-2024,09:00,180,Dec-11-2024,12:00,TB 208,Fixed Duration
CIE,FYSM 1900 C,Dec-13-2024,09:00,180,Dec-13-2024,12:00,AT 301,Fixed Duration
CIE,FYSM 1900 H,Dec-13-2024,09:00,180,Dec-13-2024,12:00,AT 301,Fixed Duration
CIVE,ACSE 2001 A,Dec-14-2024,19:00,180,Dec-14-2024,22:00,AH,Fixed Duration
CIVE,ACSE 3105 A,Dec-15-2024,09:00,180,Dec-15-2024,12:00,AT 101,Fixed Duration
CIVE,ACSE 3201 A,Dec-9-2024,14:00,180,Dec-9-2024,17:00,TB 342,Fixed Duration
CIVE,ACSE 4101 A,Dec-12-2024,14:00,180,Dec-12-2024,17:00,TB 217,Fixed Duration
CIVE,CIVE 2004 A,Dec-12-2024,09:00,180,Dec-12-2024,12:00,AH,Fixed Duration
CIVE,CIVE 2200 A,Dec-17-2024,14:00,180,Dec-17-2024,17:00,FH,Fixed Duration
CIVE,CIVE 2200 B,Dec-17-2024,14:00,180,Dec-17-2024,17:00,FH,Fixed Duration
CIVE,CIVE 2700 A,Dec-11-2024,09:00,180,Dec-11-2024,12:00,FH,Fixed Duration
CIVE,CIVE 2700 B,Dec-11-2024,09:00,180,Dec-11-2024,12:00,FH,Fixed Duration
CIVE,CIVE 3202 A,Dec-10-2024,19:00,150,Dec-10-2024,21:30,AT 102,Fixed Duration
CIVE,CIVE 3203 A,Dec-13-2024,09:00,180,Dec-13-2024,12:00,FH,Fixed Duration
CIVE,CIVE 3203 B,Dec-13-2024,09:00,180,Dec-13-2024,12:00,FH,Fixed Duration
